"REF_DATE","GEO","DGUID","Prices","Seasonal adjustment","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","1631422","","","","0"
"2019-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","1639583","","","","0"
"2019-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","1646529","","","","0"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","1606926","","","","0"
"2020-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","1443196","","","","0"
"2019-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Household final consumption expenditure","Dollars","81","millions","6","v62305724","1.1.1.2","1175794","","","","0"
"2019-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Household final consumption expenditure","Dollars","81","millions","6","v62305724","1.1.1.2","1182247","","","","0"
"2019-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Household final consumption expenditure","Dollars","81","millions","6","v62305724","1.1.1.2","1187398","","","","0"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Household final consumption expenditure","Dollars","81","millions","6","v62305724","1.1.1.2","1148851","","","","0"
"2020-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Household final consumption expenditure","Dollars","81","millions","6","v62305724","1.1.1.2","998375","","","","0"
"2019-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Goods","Dollars","81","millions","6","v62305725","1.1.1.3","524860","","","","0"
"2019-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Goods","Dollars","81","millions","6","v62305725","1.1.1.3","526732","","","","0"
"2019-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Goods","Dollars","81","millions","6","v62305725","1.1.1.3","526448","","","","0"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Goods","Dollars","81","millions","6","v62305725","1.1.1.3","512406","","","","0"
"2020-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Goods","Dollars","81","millions","6","v62305725","1.1.1.3","469425","","","","0"
"2019-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Durable goods","Dollars","81","millions","6","v62305726","1.1.1.4","155621","","","","0"
"2019-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Durable goods","Dollars","81","millions","6","v62305726","1.1.1.4","155933","","","","0"
"2019-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Durable goods","Dollars","81","millions","6","v62305726","1.1.1.4","155418","","","","0"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Durable goods","Dollars","81","millions","6","v62305726","1.1.1.4","141573","","","","0"
"2020-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Durable goods","Dollars","81","millions","6","v62305726","1.1.1.4","119145","","","","0"
"2019-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Semi-durable goods","Dollars","81","millions","6","v62305727","1.1.1.5","85865","","","","0"
"2019-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Semi-durable goods","Dollars","81","millions","6","v62305727","1.1.1.5","86112","","","","0"
"2019-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Semi-durable goods","Dollars","81","millions","6","v62305727","1.1.1.5","85504","","","","0"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Semi-durable goods","Dollars","81","millions","6","v62305727","1.1.1.5","76571","","","","0"
"2020-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Semi-durable goods","Dollars","81","millions","6","v62305727","1.1.1.5","66626","","","","0"
"2019-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Non-durable goods","Dollars","81","millions","6","v62305728","1.1.1.6","283411","","","","0"
"2019-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Non-durable goods","Dollars","81","millions","6","v62305728","1.1.1.6","284719","","","","0"
"2019-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Non-durable goods","Dollars","81","millions","6","v62305728","1.1.1.6","285525","","","","0"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Non-durable goods","Dollars","81","millions","6","v62305728","1.1.1.6","293851","","","","0"
"2020-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Non-durable goods","Dollars","81","millions","6","v62305728","1.1.1.6","283139","","","","0"
"2019-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Services","Dollars","81","millions","6","v62305729","1.1.1.7","650859","","","","0"
"2019-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Services","Dollars","81","millions","6","v62305729","1.1.1.7","655394","","","","0"
"2019-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Services","Dollars","81","millions","6","v62305729","1.1.1.7","660711","","","","0"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Services","Dollars","81","millions","6","v62305729","1.1.1.7","636354","","","","0"
"2020-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Services","Dollars","81","millions","6","v62305729","1.1.1.7","530245","","","","0"
"2019-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62305730","1.1.1.8","30280","","","","0"
"2019-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62305730","1.1.1.8","30348","","","","0"
"2019-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62305730","1.1.1.8","30560","","","","0"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62305730","1.1.1.8","30252","","","","0"
