"REF_DATE","GEO","DGUID","Categories","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-04","Canada","2016A000011124","Credit market debt to disposable account","Ratio","271","units","0","v1038036698","1.11","175.48","","","","2"
"2019-07","Canada","2016A000011124","Credit market debt to disposable account","Ratio","271","units","0","v1038036698","1.11","176.33","","","","2"
"2019-10","Canada","2016A000011124","Credit market debt to disposable account","Ratio","271","units","0","v1038036698","1.11","175.62","","","","2"
"2020-01","Canada","2016A000011124","Credit market debt to disposable account","Ratio","271","units","0","v1038036698","1.11","175.37","","","","2"
"2020-04","Canada","2016A000011124","Credit market debt to disposable account","Ratio","271","units","0","v1038036698","1.11","158.21","","","","2"
"2019-04","Canada","2016A000011124","Consumer credit and mortgage liabilities to disposable income","Ratio","271","units","0","v1038036699","1.12","166.30","","","","2"
"2019-07","Canada","2016A000011124","Consumer credit and mortgage liabilities to disposable income","Ratio","271","units","0","v1038036699","1.12","167.12","","","","2"
"2019-10","Canada","2016A000011124","Consumer credit and mortgage liabilities to disposable income","Ratio","271","units","0","v1038036699","1.12","166.48","","","","2"
"2020-01","Canada","2016A000011124","Consumer credit and mortgage liabilities to disposable income","Ratio","271","units","0","v1038036699","1.12","166.32","","","","2"
"2020-04","Canada","2016A000011124","Consumer credit and mortgage liabilities to disposable income","Ratio","271","units","0","v1038036699","1.12","150.07","","","","2"
"2019-04","Canada","2016A000011124","Credit market debt - national balance sheet","Dollars","81","millions","6","v1038036700","1.13","2259224","","","","0"
"2019-07","Canada","2016A000011124","Credit market debt - national balance sheet","Dollars","81","millions","6","v1038036700","1.13","2282842","","","","0"
"2019-10","Canada","2016A000011124","Credit market debt - national balance sheet","Dollars","81","millions","6","v1038036700","1.13","2307304","","","","0"
"2020-01","Canada","2016A000011124","Credit market debt - national balance sheet","Dollars","81","millions","6","v1038036700","1.13","2332857","","","","0"
"2020-04","Canada","2016A000011124","Credit market debt - national balance sheet","Dollars","81","millions","6","v1038036700","1.13","2332526","","","","0"
"2019-04","Canada","2016A000011124","Consumer credit - national balance sheet","Dollars","81","millions","6","v1038036701","1.14","668706","","","","0"
"2019-07","Canada","2016A000011124","Consumer credit - national balance sheet","Dollars","81","millions","6","v1038036701","1.14","673443","","","","0"
"2019-10","Canada","2016A000011124","Consumer credit - national balance sheet","Dollars","81","millions","6","v1038036701","1.14","677924","","","","0"
"2020-01","Canada","2016A000011124","Consumer credit - national balance sheet","Dollars","81","millions","6","v1038036701","1.14","681609","","","","0"
"2020-04","Canada","2016A000011124","Consumer credit - national balance sheet","Dollars","81","millions","6","v1038036701","1.14","659305","","","","0"
"2019-04","Canada","2016A000011124","Non-mortgage loans - national balance sheet","Dollars","81","millions","6","v1038036702","1.15","118203","","","","0"
"2019-07","Canada","2016A000011124","Non-mortgage loans - national balance sheet","Dollars","81","millions","6","v1038036702","1.15","119279","","","","0"
"2019-10","Canada","2016A000011124","Non-mortgage loans - national balance sheet","Dollars","81","millions","6","v1038036702","1.15","120055","","","","0"
"2020-01","Canada","2016A000011124","Non-mortgage loans - national balance sheet","Dollars","81","millions","6","v1038036702","1.15","120387","","","","0"
"2020-04","Canada","2016A000011124","Non-mortgage loans - national balance sheet","Dollars","81","millions","6","v1038036702","1.15","120072","","","","0"
